,song,song_id,duration,popularity,artist,artist_id,song_id_f,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,0,1,2,3,4,5,6
0,Bermudachords,1Hku0r6JBdATTjLfL4gCZ2,469200,32,['Andhim'],['6XJeFzmI6vrWyHcdB7EImP'],1Hku0r6JBdATTjLfL4gCZ2,0.029,0.96,0.499,0.948,0.121,-7.483,0.0565,124.003,0.365,Andhim,,,,,,
1,Moc energia,2CdHgWd7uKWZD32eR4dukp,276410,29,['DJ Trakmajster'],['4FDUlEAYU58WOUULJtx9l8'],2CdHgWd7uKWZD32eR4dukp,0.0121,0.9,0.756,0.0,0.534,-7.571,0.198,127.981,0.642,DJ Trakmajster,,,,,,
2,Papierowy man,71bH5zeAg36gxxEYayfSmp,197500,32,['RAU'],['1xCv6hHBPi9VlLay5bqdVb'],71bH5zeAg36gxxEYayfSmp,0.136,0.931,0.508,0.000537,0.11,-8.883,0.0671,96.016,0.747,RAU,,,,,,
3,Trebles (Mix Edit),5Y90cxY9a7tdqPCdjaS33B,252199,37,['MBrother'],['0ezCMQkF2T041b8HA3pnwQ'],5Y90cxY9a7tdqPCdjaS33B,0.000147,0.898,0.498,0.868,0.129,-5.781,0.0956,135.989,0.936,MBrother,,,,,,
4,Broken,74371qe3JITue5M1q3NhrN,249026,30,['K Dinero'],['2pTsUSxtCYHSUqYLT3jIFs'],74371qe3JITue5M1q3NhrN,0.0259,0.593,0.623,3.34e-05,0.136,-11.832,0.144,91.033,0.401,K Dinero,,,,,,
5,Africa,2374M0fQpWi3dLnB54qaLX,295893,83,['Toto'],['0PFtn5NtBbbUNbU9EAmIWF'],2374M0fQpWi3dLnB54qaLX,0.257,0.671,0.373,7.95e-05,0.0481,-18.064,0.0323,92.717,0.732,Toto,,,,,,
6,Scatman (ski-ba-bop-ba-dop-bop),623rRTKwGmgjH6sjE9uWLh,215973,65,['Scatman John'],['4omQQTNN7ILiMsSB2k9eqX'],623rRTKwGmgjH6sjE9uWLh,0.0655,0.65,0.82,0.00274,0.215,-10.9,0.0356,135.982,0.757,Scatman John,,,,,,
7,"Relax, Take It Easy",71zY1dyR356wGSEvZPgmaV,270000,49,['MIKA'],['5MmVJVhhYKQ86izuGHzJYA'],71zY1dyR356wGSEvZPgmaV,0.058,0.694,0.694,0.0126,0.129,-8.21,0.0328,121.876,0.608,MIKA,,,,,,
8,Material Girl,22sLuJYcvZOSoLLRYev1s5,240280,70,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],22sLuJYcvZOSoLLRYev1s5,0.333,0.742,0.883,7.51e-06,0.0964,-3.419,0.0329,136.506,0.978,Madonna,,,,,,
9,"Dzień dobry, kocham Cię",6FBPQuYFZIne5cpTASUOGR,201733,47,['Strachy Na Lachy'],['4DXXg7xzgKAEYeFhh9wAtk'],6FBPQuYFZIne5cpTASUOGR,0.24,0.664,0.733,0.0,0.379,-6.745,0.0593,136.097,0.816,Strachy Na Lachy,,,,,,
10,We Are Your Friends - Radio Edit,6Unf6X6PC7KZtrRXH3dFHg,164960,54,"['Justice', 'Simian']","['6IonV2uZzoS46YZ9Ds2Jxs', '19rgRqYVP3LJf9tGmMWLjP']",6Unf6X6PC7KZtrRXH3dFHg,0.0102,0.646,0.977,0.769,0.201,1.585,0.167,123.016,0.606,Justice,Simian,,,,,
11,Albatroz - Original Mix,0ZwQpR8uCzOGzh0xe2qkR7,289500,20,['Aérotique'],['6qOzyug9zoGuMHTmErJ6zo'],0ZwQpR8uCzOGzh0xe2qkR7,0.0276,0.872,0.574,0.821,0.491,-11.545,0.101,119.954,0.397,Aérotique,,,,,,
12,Llama In My Living Room,5OYUtKjALXnNjXRwTVStCK,181885,62,"['AronChupa', 'Little Sis Nora']","['5vCOdeiQt9LyzdI87kt5Sh', '1KYt3TMGpa1LtVi0m2A0F9']",5OYUtKjALXnNjXRwTVStCK,0.53,0.773,0.654,0.0,0.109,-7.796,0.284,128.989,0.607,AronChupa,Little Sis Nora,,,,,
13,Wake Me up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,231333,76,['Wham!'],['5lpH0xAS4fVfLkACg9DAuM'],0ikz6tENMONtK6qGkOrU3c,0.272,0.62,0.574,0.0,0.0607,-11.893,0.0421,81.548,0.9,Wham!,,,,,,
14,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,251088,80,"['Clean Bandit', 'Sean Paul', 'Anne-Marie']","['6MDME20pz9RveH9rEXvrOM', '3Isy6kedDrgPYoTS1dazA9', '1zNqDE7qDGCsyzJwohVaoX']",5knuzwU65gJK7IF5yJsuaW,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,0.742,Clean Bandit,Sean Paul,Anne-Marie,,,,
15,No Money,0gb1J5UrTpzaU1s3nupgCd,189126,73,['Galantis'],['4sTQVOfp9vEMCemLw50sbu'],0gb1J5UrTpzaU1s3nupgCd,0.0282,0.671,0.916,0.00762,0.24,-4.014,0.0397,126.01,0.803,Galantis,,,,,,
16,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,2yAVzRiEQooPEJ9SYx11L3,283747,71,"['Eiffel 65', 'Gabry Ponte']","['64rxQRJsLgZwHHyWKB8fiF', '5ENS85nZShljwNgg4wFD7D']",2yAVzRiEQooPEJ9SYx11L3,0.259,0.822,0.969,0.000162,0.39,-11.471,0.0582,128.007,0.765,Eiffel 65,Gabry Ponte,,,,,
17,Take On Me,2WfaOiMkCvy7F5fcp2zZ8L,225280,82,['a-ha'],['2jzc5TC5TVFLXQlBNiIUzE'],2WfaOiMkCvy7F5fcp2zZ8L,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876,a-ha,,,,,,
18,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,238266,72,['Cyndi Lauper'],['2BTZIqw0ntH9MvilQ3ewNY'],4y1LsJpmMti1PfRQV9AWWe,0.22,0.71,0.799,0.000602,0.349,-4.897,0.0328,120.372,0.725,Cyndi Lauper,,,,,,
19,Ściernisco,4sAPyrIRUVKCax5d1bt96D,212088,40,['GOLEC UORKIESTRA'],['7sYIwdHZoqVUh6i58SJrmx'],4sAPyrIRUVKCax5d1bt96D,0.00162,0.602,0.946,0.0,0.106,-3.516,0.162,150.091,0.73,GOLEC UORKIESTRA,,,,,,
20,The Magic Key,1VsuSOEVhuCaybeb1rFeCM,228706,54,['One-T'],['70W0ftdGNlFkgrqu5O0QiI'],1VsuSOEVhuCaybeb1rFeCM,0.0855,0.809,0.728,3.33e-06,0.303,-1.252,0.0533,204.192,0.967,One-T,,,,,,
21,Losing My Religion,31AOj9sFz2gM0O3hMARRBx,268426,80,['R.E.M.'],['4KWTAlx2RvbpseOGMEmROg'],31AOj9sFz2gM0O3hMARRBx,0.163,0.671,0.849,0.0,0.0937,-5.03,0.0284,125.613,0.829,R.E.M.,,,,,,
22,Cheri Cheri Lady,2aEuA8PSqLa17Y4hKPj5rr,226333,64,['Modern Talking'],['79bxUQsBIXO8nVLB9fYKf7'],2aEuA8PSqLa17Y4hKPj5rr,0.458,0.677,0.616,0.0132,0.349,-13.826,0.032,114.223,0.851,Modern Talking,,,,,,
23,FRIENDS,08bNPGLD8AhKpnnERrAc6G,202620,87,"['Marshmello', 'Anne-Marie']","['64KEffDW9EtZ1y2vBYgq8T', '1zNqDE7qDGCsyzJwohVaoX']",08bNPGLD8AhKpnnERrAc6G,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,95.079,0.534,Marshmello,Anne-Marie,,,,,
24,God's Plan,6DCZcSspjsKoFjzjrWoCdn,198973,90,['Drake'],['3TVXtAsR1Inumwj472S9r4'],6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,77.169,0.357,Drake,,,,,,
25,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,216408,79,"['Jason Derulo', 'Nicki Minaj', 'Ty Dolla $ign']","['07YZf4WDAMNwqr4jfgOZ8y', '0hCNtLu0JehylgoiP8L4Gh', '7c0XG5cIJTrrAgEC3ULPiq']",6kex4EBAj0WHXDKZMEJaaF,0.075,0.696,0.817,0.0,0.187,-3.862,0.109,98.064,0.782,Jason Derulo,Nicki Minaj,Ty Dolla $ign,,,,
26,I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,197933,24,"['Mike Posner', 'Seeb']","['2KsP6tYLJlTBvSUxnwlVWa', '5iNrZmtVMtYev5M9yoWpEq']",17Fd6Yb7mSbinKG8LoWfFl,0.0353,0.663,0.713,7.68e-06,0.0843,-6.647,0.112,101.965,0.69,Mike Posner,Seeb,,,,,
27,Swish Swish,2kVHAQKVtczchKctctzbtK,242510,22,"['Katy Perry', 'Nicki Minaj']","['6jJ0s89eD6GaHleKKya26X', '0hCNtLu0JehylgoiP8L4Gh']",2kVHAQKVtczchKctctzbtK,0.0196,0.836,0.716,1.83e-05,0.101,-5.211,0.0549,119.938,0.534,Katy Perry,Nicki Minaj,,,,,
28,Mambo No. 5 (A Little Bit of...),5lA6mFOvaiienokVbTZEQx,219600,25,['Lou Bega'],['46lnlnlU0dXTDpoAUmH6Qx'],5lA6mFOvaiienokVbTZEQx,0.107,0.607,0.802,0.0,0.305,-6.849,0.403,174.201,0.901,Lou Bega,,,,,,
29,Last Resort,4V05j7HDUU2bZQwDOeIySh,200480,16,['Papa Roach'],['4RddZ3iHvSpGV4dvATac9X'],4V05j7HDUU2bZQwDOeIySh,0.000624,0.56,0.892,0.000164,0.177,-3.365,0.0644,90.615,0.67,Papa Roach,,,,,,
30,Love Will Tear Us Apart,2JO3HwMRPeya8bXbtbyPcf,206866,69,['Joy Division'],['432R46LaYsJZV2Gmc4jUV5'],2JO3HwMRPeya8bXbtbyPcf,5.24e-05,0.443,0.956,0.825,0.135,-6.198,0.0511,146.754,0.909,Joy Division,,,,,,
31,Cykady Na Cykladach - 2011 Remastered Version,0SwAC0yvUxGq2frHlNCfvE,179226,40,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],0SwAC0yvUxGq2frHlNCfvE,0.0682,0.454,0.84,0.00103,0.221,-7.169,0.312,178.168,0.898,Maanam,,,,,,
32,Little Swing,66U0ASk1VHZsqIkpMjKX3B,163809,60,"['AronChupa', 'Little Sis Nora']","['5vCOdeiQt9LyzdI87kt5Sh', '1KYt3TMGpa1LtVi0m2A0F9']",66U0ASk1VHZsqIkpMjKX3B,0.707,0.89,0.672,0.000604,0.177,-5.532,0.0621,126.036,0.598,AronChupa,Little Sis Nora,,,,,
33,Another Love - Zwette Edit,5snyhxAh55A2wlNRH7VVZJ,394573,67,"['Tom Odell', 'Zwette']","['2txHhyCwHjUEpJjWrEyqyX', '6J2749jPHYhAZUq79rsNi0']",5snyhxAh55A2wlNRH7VVZJ,0.0802,0.87,0.554,0.0739,0.115,-5.828,0.0635,123.998,0.462,Tom Odell,Zwette,,,,,
34,Love Never Felt so Good - Fedde Le Grand Remix Radio Edit,1CavzSzBIn4S6FTEu0sRZF,206175,43,"['Michael Jackson', 'Fedde Le Grand', 'Robin M Christopher']","['3fMbdgg4jU18AjLCKBhRSm', '7dc6hUwyuIhrZdh80eaCEE', '2uDoQjE6g8IKzcggeyWpTI']",1CavzSzBIn4S6FTEu0sRZF,0.00527,0.557,0.942,0.00168,0.1,-3.197,0.151,127.986,0.537,Michael Jackson,Fedde Le Grand,Robin M Christopher,,,,
35,Agnieszka już dawno...,6a7ozKIdGCXlVQwF8TJ2PW,231781,44,['Łzy'],['49kDJkXVeVB2KjvJmAwq0f'],6a7ozKIdGCXlVQwF8TJ2PW,0.237,0.712,0.681,0.0,0.281,-9.092,0.0559,120.006,0.66,Łzy,,,,,,
36,Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq,219305,75,['Rihanna'],['5pKCCKE2ajJHZ9KAiaK11H'],0NTMtAO2BV4tnGvw9EgBVq,0.0538,0.778,0.741,2.04e-06,0.29,-4.97,0.0484,102.95,0.364,Rihanna,,,,,,
37,Sexualna,762EDd3aDSHXaOmtuJCHUQ,193720,34,"['Mirami', ""Vova Zi L'vova""]","['4MGaCGIAoAXmu6e8JulNQD', '7KbWWUZFx0533hN3ll8euY']",762EDd3aDSHXaOmtuJCHUQ,0.23,0.686,0.659,0.0,0.551,-6.336,0.0913,130.004,0.894,Mirami,Vova Zi L'vova,,,,,
38,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",79hJaqmVdohltPBNN6BULM,281666,77,['Bee Gees'],['1LZEQNv7sE11VDY3SdxQeN'],79hJaqmVdohltPBNN6BULM,0.07,0.708,0.567,0.00105,0.152,-15.539,0.0355,103.606,0.955,Bee Gees,,,,,,
39,Vlasy,3OM9kkvq38BNvqwIJNl4tp,291146,31,['Fallgrapp'],['6I6uPvOgX7aQZJWVbfIP42'],3OM9kkvq38BNvqwIJNl4tp,0.0732,0.474,0.693,0.0973,0.107,-7.731,0.0718,72.534,0.117,Fallgrapp,,,,,,
40,Mermaid of Bahia - Eden Prince Remix,2LfQUce1cbtn5wnLtjBywa,310276,33,['Basement Jaxx'],['4YrKBkKSVeqDamzBPWVnSJ'],2LfQUce1cbtn5wnLtjBywa,0.00126,0.692,0.821,0.0264,0.087,-5.708,0.0852,127.018,0.256,Basement Jaxx,,,,,,
41,Mr. Trumpet,3harhD3CU6ktIP1g6AQh38,326839,32,"['Day Din', 'Kronfeld']","['1YzhPssoLV65PIChO3Uri9', '6694vMyWKyPyZgtP4hkZ66']",3harhD3CU6ktIP1g6AQh38,0.00644,0.899,0.678,0.0227,0.108,-4.781,0.189,138.03,0.491,Day Din,Kronfeld,,,,,
42,The Lucky One,2jjIlh1SHv9ERJucHFhvpl,316521,33,"['Lovegun', 'Nikelodeon']","['1QV6E02JOVppiUI1gMbg8A', '5daaV8YFW2DhEaRwFAm1k2']",2jjIlh1SHv9ERJucHFhvpl,0.0123,0.603,0.791,0.199,0.0519,-4.954,0.0671,137.993,0.233,Lovegun,Nikelodeon,,,,,
43,No pokaz Na Co Cie Stac,1VS9xug6sikx03xplA3JbX,201333,37,['Feel'],['4QgvuQGl8OtPaUpg492Jyz'],1VS9xug6sikx03xplA3JbX,0.0253,0.471,0.787,0.0,0.101,-4.216,0.0301,180.151,0.5,Feel,,,,,,
44,Statki na Niebie,13qBb1ErYu1xRXGGrfDs7v,225200,32,['De Mono'],['1qllVSlovgjppXcIGG7phc'],13qBb1ErYu1xRXGGrfDs7v,0.786,0.741,0.607,4.44e-05,0.103,-6.161,0.0337,120.068,0.612,De Mono,,,,,,
45,Lets Twist Again,2lrRUnZjUMXTOWAMPpuUSe,140564,45,['Chubby Checker'],['7qQJQ3YtcGlqaLg5tcypN2'],2lrRUnZjUMXTOWAMPpuUSe,0.00761,0.63,0.757,1.09e-05,0.0462,-5.04,0.0367,162.479,0.971,Chubby Checker,,,,,,
46,Słodycze - 2013,3YxSBxThjx8E9RKyfbr7mi,238921,28,['GOLEC UORKIESTRA'],['7sYIwdHZoqVUh6i58SJrmx'],3YxSBxThjx8E9RKyfbr7mi,0.337,0.695,0.421,0.0,0.062,-17.724,0.0506,140.01,0.667,GOLEC UORKIESTRA,,,,,,
47,Popcorn Beats - umami Remix,6QAgGdavQJaNsEcUrN6QDz,378997,30,"['Stereo Express', 'Stavroz']","['3j2zB13syOvCyrkJIomEA2', '7su1fG75ZwXHA6ei9Zcy7T']",6QAgGdavQJaNsEcUrN6QDz,0.0584,0.876,0.74,0.127,0.0688,-7.246,0.122,124.993,0.595,Stereo Express,Stavroz,,,,,
48,Density - Anturage Remix,6EtX2JxaVZsFSC0JqTBs1k,379354,6,"['Flow & Zeo', 'Anturage']","['0p3ZwWMAbWzn2KMN7GweIi', '60hGAZqZ60I2EhUi0f4j2N']",6EtX2JxaVZsFSC0JqTBs1k,0.0083,0.798,0.854,0.896,0.068,-6.869,0.0384,123.999,0.576,Flow & Zeo,Anturage,,,,,
49,Don't Stop to Fall - Short Edit,2Yf3WLzSGYPMTkkejRDwn8,204523,20,['Several Definitions'],['7fgdLbHjlVQE4sZ9L2awDq'],2Yf3WLzSGYPMTkkejRDwn8,0.0046,0.624,0.893,0.545,0.252,-8.545,0.0388,126.014,0.365,Several Definitions,,,,,,
50,Pist,7AVZOzFZeM5shwLKMA9MRc,478147,1,['K.A.L.I.L.'],['6im40CIcqEb9GVJ7Mg4nbT'],7AVZOzFZeM5shwLKMA9MRc,0.00153,0.802,0.794,0.712,0.118,-8.079,0.0478,126.009,0.168,K.A.L.I.L.,,,,,,
51,Green Car,22aojMKRqZaQinE88uCTF7,350628,6,['The Chef'],['5gpcWT0GjfUZACExdroiLP'],22aojMKRqZaQinE88uCTF7,0.0547,0.805,0.903,0.915,0.0963,-9.971,0.0822,128.031,0.235,The Chef,,,,,,
52,Schwabing,7jFcblRt6I5kuRa9yK3PSl,444278,21,"['Julian Wassermann', 'Oliver Deuerling']","['6QXqARXg4hZ3oAUitm2gU0', '0ZYMuUZ5WzJ9xX4GuvF8Tn']",7jFcblRt6I5kuRa9yK3PSl,0.00273,0.805,0.598,0.857,0.106,-8.745,0.0727,122.001,0.599,Julian Wassermann,Oliver Deuerling,,,,,
53,Glowing - Marek Hemmann Dub,4OKSE4cgTe1pYUAhHTN6pL,367384,4,"['Pentatones', 'Marek Hemmann']","['4E4SSsX6mD9zpcHgGlV8ns', '7tL5UmgvPx6TqKyf0Sjjw6']",4OKSE4cgTe1pYUAhHTN6pL,0.00176,0.75,0.593,0.891,0.115,-10.211,0.0426,130.009,0.446,Pentatones,Marek Hemmann,,,,,
54,Amnesia,28Qonjrf9fY7i4RlBspAOZ,353280,15,['Victor Ruiz'],['0xgdNNa5mIbnJKp8AG8S4z'],28Qonjrf9fY7i4RlBspAOZ,0.000207,0.802,0.731,0.924,0.289,-10.923,0.0749,125.028,0.315,Victor Ruiz,,,,,,
55,Cruise Control - Original Mix,6xG0mEzc646XvQ2fbUeqku,500046,17,"['Alex Stein, Spuri']",['4k1xooBk5Fac5QSit2AP9m'],6xG0mEzc646XvQ2fbUeqku,0.0192,0.794,0.558,0.919,0.0821,-11.594,0.0741,124.01,0.432,"Alex Stein, Spuri",,,,,,
56,Doors - Pete Sabo Remix,6uV7Y5MtE3sykgtRLqR1er,394838,9,"[""Bird's Clutch"", 'Pete Sabo']","['3Zd69D2q8OQcRSdhtN38s2', '1bs1xNjFo46rCLM94ExwJo']",6uV7Y5MtE3sykgtRLqR1er,0.00557,0.852,0.633,0.902,0.0941,-7.168,0.0392,124.011,0.397,Bird's Clutch,Pete Sabo,,,,,
57,Consilium,3UDQ2vLXTECbeSAtKhGHRw,518234,11,['Binaryh'],['7zw8gWmNncuk2QZHIc70So'],3UDQ2vLXTECbeSAtKhGHRw,0.039,0.804,0.716,0.929,0.11,-12.385,0.0584,124.005,0.0874,Binaryh,,,,,,
58,This Is the Bass - SUDO Remix,4UwwTr0rSEMoDLc7kbLgKT,460000,9,"['FractaLL', 'Rocksted', 'SUDO']","['7aohnUnt4vWtzvhBSZTAbF', '1XrH962P4m9qarMwaveb6H', '4bcymNfS8BzQ8XiwkdqCDb']",4UwwTr0rSEMoDLc7kbLgKT,0.000331,0.76,0.767,0.924,0.0991,-10.09,0.0701,125.003,0.0775,FractaLL,Rocksted,SUDO,,,,
59,Flow Gravity - Transcode Remix,0ywDkvbtrxLwurBk4fuJW8,433920,9,"['Djoko', 'Thalo Santana', 'Transcode']","['4H2eox15C4Zu22ujMDcs5t', '3kuJEtq7qHMxCzZVWrPEJ5', '0A1wu73Im00lBOBgUM7Ati']",0ywDkvbtrxLwurBk4fuJW8,0.024,0.789,0.782,0.818,0.11,-9.958,0.0743,125.005,0.272,Djoko,Thalo Santana,Transcode,,,,
60,Seenot - Original Mix,69GY9ixoPwetvLAtP0szMZ,423529,2,['Acado'],['1z6fgjuCMlbaHSM0xqApwM'],69GY9ixoPwetvLAtP0szMZ,0.00232,0.777,0.73,0.892,0.111,-10.374,0.0459,118.993,0.471,Acado,,,,,,
61,Bloom - Oliver Schories Remix,5xF8UEHA3ZzvARVt9nUoEi,400786,22,"['Robert Babicz', 'Oliver Schories']","['5XFQLyJekhzCO7PiTqboOB', '0iTjLBepeGaLgZS18kxgRq']",5xF8UEHA3ZzvARVt9nUoEi,0.000214,0.715,0.804,0.884,0.216,-8.516,0.0329,123.003,0.301,Robert Babicz,Oliver Schories,,,,,
62,Pink Is My Favorite Color - Alex Stein Remix,0GVDULUtbDJZqOMHhzX0vy,359705,12,"['Mac Vaughn', 'Alex Stein']","['7a5pGUsxtlWwxHuSlp5tQS', '0SCFEgshN89tlgOPM7lbSB']",0GVDULUtbDJZqOMHhzX0vy,0.00442,0.695,0.587,0.833,0.105,-11.977,0.0405,123.001,0.158,Mac Vaughn,Alex Stein,,,,,
63,Utapao Aviaters - Steven Campodonico Remix,0rQmkTZWYmBicsuguhaK5l,434280,6,"['Steven Campodonico', 'The Pavlov']","['3N1koR8LLWL8HugmvDmChc', '6kuwmdRkvrqkEXfX63klWW']",0rQmkTZWYmBicsuguhaK5l,0.000107,0.828,0.576,0.9,0.11,-10.188,0.0443,126.028,0.128,Steven Campodonico,The Pavlov,,,,,
64,Don't Know,4ZdAbuwV2enyv00Dc1Shdb,338360,28,['Gottlieb Scheppert'],['7gsbhHwWrgawymTkQVXlC4'],4ZdAbuwV2enyv00Dc1Shdb,0.0539,0.867,0.405,0.877,0.112,-11.212,0.0678,120.002,0.601,Gottlieb Scheppert,,,,,,
65,Milk (Jacky 0 Remix),5WlFUBUmc0Bqo9nKpJmcp1,473559,20,"['Dusty Kid', 'Jacky 0']","['6JGLndnzrQrIFkd8NFha3C', '52clJOew1z0rhVROnz6J4F']",5WlFUBUmc0Bqo9nKpJmcp1,0.363,0.784,0.578,0.765,0.103,-10.396,0.253,110.993,0.15,Dusty Kid,Jacky 0,,,,,
66,Hushle,7sORxXT5HoeB2LHMbE4uZy,368952,12,['Hanne & Lore'],['70MKGwjypyzdbuY4t9BqPD'],7sORxXT5HoeB2LHMbE4uZy,0.00019,0.881,0.742,0.849,0.0607,-6.189,0.105,121.004,0.471,Hanne & Lore,,,,,,
67,Detroit,7dm8Ozgahy3dQav5UiOMEr,416468,5,['Gallya'],['739QrQCPi7iMYcxpjlVEwN'],7dm8Ozgahy3dQav5UiOMEr,0.000265,0.803,0.62,0.88,0.0962,-10.958,0.0526,126.01,0.0347,Gallya,,,,,,
68,Orgasmatronic,5cFAl2Xo8ZUTcZH5WrxXBr,356101,20,"['Gabe', 'Touchtalk']","['0WoUrE9CjbROyWCMMdGMqu', '7h3WYtTqpcXSkGcrKC4kAZ']",5cFAl2Xo8ZUTcZH5WrxXBr,0.000369,0.824,0.879,0.894,0.0986,-8.824,0.0808,124.998,0.186,Gabe,Touchtalk,,,,,
69,Sixth Sense,5jNg4yCoG4YLvyI9TQ5dew,450014,30,['Sascha Braemer'],['3egW8Pgmbjm5vS4EPXZond'],5jNg4yCoG4YLvyI9TQ5dew,0.228,0.768,0.716,0.843,0.0839,-11.222,0.0456,120.021,0.401,Sascha Braemer,,,,,,
70,Nuts,03k2z2PFTyoHSVaP7LCmXd,400999,12,['Dapayk solo'],['0vz3JBcXuyp4QefXwtD0Lp'],03k2z2PFTyoHSVaP7LCmXd,5.55e-05,0.819,0.644,0.542,0.0733,-9.898,0.0584,124.986,0.353,Dapayk solo,,,,,,
71,Strings for Life - David Sidley Remix,3aKwN71yNbFwk2JBLYZWxL,468292,5,"['Matador', 'David Sidley']","['1UcYY5JDPe05nqjODiVkx1', '5Si7YgWXKiDKGdod5PmWgs']",3aKwN71yNbFwk2JBLYZWxL,0.00406,0.838,0.588,0.928,0.0861,-8.795,0.0438,123.018,0.0714,Matador,David Sidley,,,,,
72,System Check,208kFelk80HPaBrkj6koUm,400500,8,['Plastic Robots'],['7qd3q5BKu3lh5r0vVBWSzm'],208kFelk80HPaBrkj6koUm,0.0016,0.824,0.682,0.712,0.112,-8.066,0.0556,125.014,0.308,Plastic Robots,,,,,,
73,Kastil,3DHz7RxV322gqDX1bFuQc5,399403,32,['Oliver Schories'],['0iTjLBepeGaLgZS18kxgRq'],3DHz7RxV322gqDX1bFuQc5,0.000248,0.745,0.582,0.869,0.0986,-7.675,0.0429,123.993,0.102,Oliver Schories,,,,,,
74,African Fox - Dub Mix,5osEhBaEBmWLAmyj2Hwife,466176,2,['Peppelino'],['0VOwWNGBvFpJyptRG9BKEb'],5osEhBaEBmWLAmyj2Hwife,0.012,0.799,0.961,0.851,0.146,-7.92,0.0597,121.995,0.508,Peppelino,,,,,,
75,Clean Slate,6b1Wgk0BJHEVfGaIKMFCs8,460738,28,['Joachim Pastor'],['6eNOjuJSfKkAvbiGW90AkZ'],6b1Wgk0BJHEVfGaIKMFCs8,0.212,0.512,0.699,0.861,0.189,-8.465,0.0485,122.972,0.138,Joachim Pastor,,,,,,
76,Her Great Escape - Dan Caster Remix,4P1yXpmgaevg27khsla7t2,403710,14,"['Jan Blomqvist', 'Dan Caster']","['5wMlMjOLeJfS5DfxqGfm83', '1Rs864bzaQOqlDJsjk6rzZ']",4P1yXpmgaevg27khsla7t2,0.0268,0.749,0.797,0.727,0.0799,-9.42,0.0565,123.014,0.231,Jan Blomqvist,Dan Caster,,,,,
77,Falling,79x8KMTIeHp0dvFok2pikL,450861,18,['Thomas Schumacher'],['7KkV7dFoGEXr4M3fpb1FgD'],79x8KMTIeHp0dvFok2pikL,0.000532,0.745,0.666,0.809,0.095,-9.163,0.0381,124.991,0.0976,Thomas Schumacher,,,,,,
78,Masala Fair,4ZLMCDTxdCm2LQixP7vpPA,163512,15,['The Scene'],['20UHbeki7LeyEdZAKvOC6N'],4ZLMCDTxdCm2LQixP7vpPA,0.000109,0.655,0.865,0.0457,0.203,-9.035,0.0341,120.006,0.797,The Scene,,,,,,
79,We Love You - Mono / Remastered / Single Version,1Bnnk0CEiQ6KlrORil9uQ8,276960,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1Bnnk0CEiQ6KlrORil9uQ8,0.00383,0.27,0.794,0.14,0.317,-6.914,0.0394,113.233,0.471,The Rolling Stones,,,,,,
80,I Would For You - 2006 Remastered Version,4cxwxr9Y4FPDeICr1LnCjs,233626,32,"[""Jane's Addiction""]",['02NfyD6AlLA12crYzw5YcR'],4cxwxr9Y4FPDeICr1LnCjs,0.958,0.316,0.0665,0.0142,0.114,-13.304,0.0349,135.791,0.0998,Jane's Addiction,,,,,,
81,22 (OVER S∞∞N),5oK98mpTJSU0iqLHN1hZ3y,168000,61,['Bon Iver'],['4LEiUm1SRbFMgfqnQTwUbQ'],5oK98mpTJSU0iqLHN1hZ3y,0.972,0.298,0.112,0.0823,0.0935,-15.765,0.0353,86.786,0.0972,Bon Iver,,,,,,
82,Turtleneck,5sj0i3OgwuBsyuCnandkHT,180000,46,['The National'],['2cCUtGK9sDU2EoElnk0GNB'],5sj0i3OgwuBsyuCnandkHT,0.0706,0.424,0.991,0.824,0.167,-3.832,0.213,109.858,0.109,The National,,,,,,
83,True Love Waits,01ZpFhrMMqKPVCwyqXneVp,283463,56,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],01ZpFhrMMqKPVCwyqXneVp,0.938,0.282,0.132,0.104,0.1,-15.569,0.0375,136.186,0.0379,Radiohead,,,,,,
84,It Is Not Meant To Be,1SFXDOmnBWypdnYdvpQfRZ,321746,4,['Tame Impala'],['5INjqkS1o8h1imAzPqGZBb'],1SFXDOmnBWypdnYdvpQfRZ,0.0132,0.423,0.9,0.00125,0.436,-4.703,0.0418,102.039,0.471,Tame Impala,,,,,,
