,song,song_id,duration,popularity,artist,artist_id,song_id_f,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,0,1,2,3,4,5,6
639,Skin Crawler,6XHLkOorwgqAV763CrpObK,315016,1,"['Black Sun Empire', 'State of Mind', 'Tiki']","['3PAXvY08KxX5HmCsmKw4x8', '6Piel9jEbV4Qb18Yw1B2dI', '09F19oS0tzheeTR32kka6F']",5cn8pxas6oLgBqNnCivDUG,0.0763,0.47,0.749,4.77e-06,0.17,-5.734,0.0377,156.581,0.231,Black Sun Empire,State of Mind,Tiki,,,,
640,In These Shadows (feat. Carmen Forbes),2JgLS3CJLyBffCUrJaFgdM,329142,42,"['Fytch', 'Carmen Forbes']","['4A18NGfdKU0HrkmvVlPO7I', '4XY6mCv2cLDP5bSYILeHk5']",1q2SiRdGyqe3MS68YBZqDg,0.621,0.817,0.664,0.000533,0.0598,-7.341,0.0761,130.052,0.43,Fytch,Carmen Forbes,,,,,
641,Ocean Drive,0k93MXOj0kSXo84SvSDeUz,206320,23,['Duke Dumont'],['61lyPtntblHJvA7FMMhi7E'],7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,Duke Dumont,,,,,,
642,Niday Fright,1Bax191bpnmTXUCK55H7Sd,296440,27,['Falco Benz'],['4Lwvp74q2AmvAKhf5ccUol'],1wHq51FFGqKP1GinlsO4kV,0.204,0.823,0.712,0.0,0.167,-4.852,0.0345,125.981,0.935,Falco Benz,,,,,,
643,Faded,7gHs73wELdeycvS48JfIos,212626,81,['Alan Walker'],['7vk5e3vY1uw9plTHJAMwjN'],7EVk9tRb6beJLTHrg6AkY9,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0.0688,99.002,0.675,Alan Walker,,,,,,
644,Glow,5cn8pxas6oLgBqNnCivDUG,182760,21,['IYES'],['3uHiNgd4Vmf5q9XjsCsIsi'],3vcgNyLVlBu0aLBvJYZYGT,0.000196,0.694,0.483,0.557,0.134,-7.157,0.0359,96.029,0.132,IYES,,,,,,
645,Takiego Chlopaka,1q2SiRdGyqe3MS68YBZqDg,192750,46,['Mikromusic'],['7JFi4ROpWvJU9ZMmHn8Yp5'],3esjTrpXxTrJkCVjrQpcDB,0.229,0.359,0.603,0.631,0.197,-11.608,0.347,101.659,0.473,Mikromusic,,,,,,
646,Shape of You,7qiZfU4dY1lWllzX7mPBI3,233712,86,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],66tU4F0QuJoC8UAdIerN9R,0.104,0.704,0.637,0.507,0.154,-8.291,0.0281,123.985,0.427,Ed Sheeran,,,,,,
647,O Pani!,1wHq51FFGqKP1GinlsO4kV,178955,31,['Grzegorz Hyzy'],['2JN7EU0IQBx2cWaHh23Mfm'],4WJNMSihHL8e4hs9SkBq9C,0.0127,0.432,0.884,0.000527,0.166,-6.659,0.13,108.948,0.624,Grzegorz Hyzy,,,,,,
648,Tuesday (feat. Danelle Sandoval),7EVk9tRb6beJLTHrg6AkY9,241874,75,"['Burak Yeter', 'Danelle Sandoval']","['4ON1ruy5ijE7ZPQthbrkgI', '7Dz9goFmVZZqvJxZoKg7pF']",38GHBqMFCf3v9Uk2a26hc9,0.097,0.639,0.806,0.195,0.128,-6.25,0.0776,154.552,0.822,Burak Yeter,Danelle Sandoval,,,,,
649,When I Get There,3vcgNyLVlBu0aLBvJYZYGT,220000,47,['Big Wild'],['0PxzGnCYBpSuaI49OR94cA'],0tdmvtJZdqkZNgt7rec50j,0.241,0.366,0.751,0.000197,0.646,-3.845,0.041,152.189,0.109,Big Wild,,,,,,
650,Girl,3esjTrpXxTrJkCVjrQpcDB,245585,49,['Jamie xx'],['7A0awCXkE1FtSU8B0qwOJQ'],6dgF5wpOqx3JWKnYEIxQTE,0.267,0.678,0.699,0.064,0.134,-6.872,0.0531,116.895,0.536,Jamie xx,,,,,,
651,Wayfaring Stranger feat. Florence Bird - AKA AKA & Thalstroem's Radio Edit,66tU4F0QuJoC8UAdIerN9R,234766,40,"['Joachim Pastor', 'Florence Bird', 'AKA AKA', 'Thalstroem']","['6eNOjuJSfKkAvbiGW90AkZ', '4TNk3AroApHY9cXRR4WD7I', '64fjAjykuM8Oc3Bqup4g72', '4APUbQ1NzVSQyGOhH4g2jY']",5eS6pTvDNOvh2kyxeZtK3r,0.00018,0.479,0.678,0.661,0.421,-12.17,0.0758,116.033,0.227,Joachim Pastor,Florence Bird,AKA AKA,Thalstroem,,,
652,Break Stuff,4WJNMSihHL8e4hs9SkBq9C,166706,12,['Limp Bizkit'],['165ZgPlLkK7bf5bDoFc6Sb'],2F9aUvwtYgrMbHm2TlVYzd,0.0353,0.52,0.704,0.177,0.312,-4.821,0.163,85.031,0.541,Limp Bizkit,,,,,,
653,The Magic,38GHBqMFCf3v9Uk2a26hc9,249533,40,['Joan As Police Woman'],['6PBv8t9YTLggA9ZMwpeoqj'],2Bt0houfdfKPI4X8oxCdQB,0.00574,0.707,0.588,0.876,0.238,-4.515,0.0436,114.996,0.282,Joan As Police Woman,,,,,,
654,Take Ü There (feat. Kiesza) - Zeds Dead Remix,0tdmvtJZdqkZNgt7rec50j,247894,40,"['Skrillex', 'Diplo', 'Jack Ü', 'Kiesza', 'Zeds Dead']","['5he5w2lnU9x7JFhnwcekXX', '5fMUXHkw8R8eOP2RNVYEZX', '1HxJeLhIuegM3KgvPn8sTa', '4zxvC7CRGvggq9EWXOpwAo', '67qogtRNI0GjUr8PlaG6Zh']",0TDLuuLlV54CkRRUOahJb4,0.0682,0.602,0.796,0.12,0.15,-3.657,0.103,126.06,0.265,Skrillex,Diplo,Jack Ü,Kiesza,Zeds Dead,,
655,The Sun,6dgF5wpOqx3JWKnYEIxQTE,174777,44,"['Parov Stelar', 'Graham Candy']","['65EXuYHVoehCKqp0kOS6px', '71KlQX0q5wz5f9iytwPfou']",5BiXwMsbyjl2qO0UXbL96Q,0.000108,0.638,0.828,0.643,0.155,-5.855,0.0855,127.905,0.0252,Parov Stelar,Graham Candy,,,,,
656,Robot Rock / Oh Yeah,5eS6pTvDNOvh2kyxeZtK3r,387506,48,['Daft Punk'],['4tZwfgrHOc3mvqYlEYSvVi'],1E8S3CSv20KrKT0C1yAjkO,6.53e-05,0.58,0.786,0.207,0.461,-9.979,0.0675,126.004,0.558,Daft Punk,,,,,,
657,Morning Glory,2F9aUvwtYgrMbHm2TlVYzd,218253,38,['Poldoore'],['3ph6BKBPsjP7Vhtd1IXhkc'],6RsWqX8zABZLhZydXxEFOm,0.124,0.702,0.77,0.0,0.103,-5.416,0.0482,107.951,0.593,Poldoore,,,,,,
658,Astral,2Bt0houfdfKPI4X8oxCdQB,315130,35,['Pyramid'],['3aSTe6gzR3XChH1wcLfhmD'],74DaUipyqqHC1zPbSJ47iN,0.00223,0.349,0.771,0.0,0.103,-8.321,0.0709,173.819,0.513,Pyramid,,,,,,
